group,messages_sampled,messages_estimated,top_lang,top_lang_pct,en_pct,year_min,year_max,n_langs
gmane.linux.ubuntu.region.brazil,189,9450,pt,96.8,1.6,2006,2017,5
gmane.comp.lib.glibc.alpha,188,9400,en,97.9,97.9,2002,2019,5
gmane.comp.security.phishings,188,9400,en,90.4,90.4,2011,2016,9
gmane.comp.lang.erlang.general,187,9350,en,100.0,100.0,2002,2019,1
gmane.comp.file-systems.btrfs,185,9250,en,97.3,97.3,2008,2019,5
gmane.comp.apache.openoffice.issues,184,9200,en,53.3,53.3,2012,2019,6
gmane.comp.lang.as400.rpg,184,9200,en,98.9,98.9,2002,2019,3
gmane.os.netbsd.bugs,184,9200,en,97.8,97.8,2002,2019,5
gmane.science.linguistics.wikipedia.technical,184,9200,en,98.4,98.4,2002,2018,4
gmane.comp.handhelds.openembedded,183,9150,en,92.3,92.3,2004,2019,9
gmane.comp.version-control.subversion.svn,183,9150,en,95.1,95.1,2004,2019,9
gmane.comp.video.blender.scm,183,9150,en,98.9,98.9,2008,2018,2
gmane.culture.media.mediacare,183,9150,id,91.8,6.6,2007,2013,4
gmane.linux.debian.devel.qt-kde,183,9150,en,93.4,93.4,2004,2019,9
gmane.comp.lib.vtk.user,182,9100,en,99.5,99.5,2002,2018,2
gmane.comp.window-managers.enlightenment.cvs,182,9100,en,94.0,94.0,2004,2013,7
gmane.comp.emulators.xen.user,181,9050,en,99.4,99.4,2005,2017,2
gmane.comp.lang.ruby.core,181,9050,en,100.0,100.0,2003,2019,1
gmane.comp.security.full-disclosure,181,9050,en,99.4,99.4,2002,2013,2
gmane.linux.bios,181,9050,en,98.3,98.3,2002,2019,2
gmane.comp.lib.wxwindows.general,180,9000,en,98.9,98.9,2003,2019,3
gmane.linux.suse.opensuse.devel,180,9000,en,98.9,98.9,2006,2019,3
gmane.org.wikimedia.foundation,180,9000,en,97.2,97.2,2004,2019,6
gmane.comp.gis.openstreetmap.region.fr,179,8950,fr,97.2,1.1,2007,2019,3
gmane.comp.video.mesa3d.scm,179,8950,en,97.2,97.2,2007,2019,5
gmane.mail.spam.spamcop.social,179,8950,en,98.3,98.3,2002,2006,4
gmane.comp.gnu.binutils,178,8900,en,99.4,99.4,2002,2019,2
gmane.comp.lib.boost.user,178,8900,en,98.3,98.3,2002,2019,4
gmane.linux.debian.devel.medical.scm,178,8900,en,97.2,97.2,2008,2019,5
gmane.text.xml.axis.devel,178,8900,en,82.0,82.0,2002,2018,9
gmane.linux.debian.packages.java.cvs,177,8850,en,94.4,94.4,2006,2019,9
gmane.linux.suse.general.spanish,177,8850,es,96.6,1.7,2005,2018,4
gmane.linux.nfs,176,8800,en,98.9,98.9,2002,2019,3
gmane.org.user-groups.linux.ilugc,176,8800,en,97.2,97.2,1999,2015,4
gmane.comp.kde.devel.core,175,8750,en,100.0,100.0,2002,2019,1
gmane.linux.debian.devel.mentors,175,8750,en,98.3,98.3,2002,2019,3
gmane.linux.drivers.mtd,175,8750,en,98.3,98.3,1999,2018,4
gmane.org.google.gwt,175,8750,en,98.9,98.9,2008,2012,3
gmane.os.openbsd.ports,175,8750,en,99.4,99.4,2002,2018,2
gmane.comp.voip.cisco,174,8700,en,99.4,99.4,2005,2019,2
gmane.comp.video.libav.devel,172,8600,en,95.3,95.3,2011,2018,5
gmane.emacs.gnus.general,172,8600,en,98.8,98.8,1995,2019,3
